id,name,qoh,qa,qoo,avail,limit,price
23415,100% Orange Juice,400.0000,0.0000,0.0000,400.0000,0,0.72
243250,Craving Hams,34.0000,34.0000,0.0000,0.0000,0,0.00
24349,Oat & Honey Granola Cereal,1.0000,1.0000,0.0000,0.0000,0,2.08
24812,Sweet Cut Corn,58.0000,58.0000,0.0000,0.0000,0,5.12
24900,Sour Candy,25.0000,0.0000,0.0000,25.0000,0,0.48
25135,Mac & Cheese Puffs,5.0000,5.0000,0.0000,0.0000,0,0.96
25250,Pineapple Cottage Cheese,75.0000,0.0000,0.0000,75.0000,0,0.00
25895,Juicy Juice Orange,299.0000,112.0000,0.0000,187.0000,0,2.56
25900,Butterfinger crisp,3.0000,0.0000,0.0000,3.0000,0,4.00
260171,Seasoned Croutons,180.0000,34.0000,0.0000,146.0000,0,0.64
26187,Potato Cakes,52.0000,51.0000,0.0000,1.0000,0,5.12
26436,Lobster Ravioli,0.0000,440.0000,0.0000,-440.0000,0,1.12
26438,Pasta Meal w /Meat Sauce,1046.0000,440.0000,0.0000,606.0000,0,1.12
264381,Pasta Meals w/ Meat Sauce,-220.0000,440.0000,0.0000,-660.0000,0,0.00
26976,Nestie Wheat & Honey Cereal,13.0000,0.0000,0.0000,13.0000,0,1.76
27016,BOCA GRANDE DIET JELLY,29.0000,0.0000,0.0000,29.0000,0,0.96
27200,Moroccan Style Rice & Beans,32.0000,0.0000,0.0000,32.0000,0,0.80
27217,Coca puffs,13.0000,0.0000,0.0000,13.0000,0,0.00
27504,Reese's puffs cereal,15.0000,0.0000,0.0000,15.0000,3,0.00
27753,Boost Nutrition Bars,10.0000,0.0000,0.0000,10.0000,0,4.96
27800,Vanilla Creme Cookies,1.0000,0.0000,0.0000,1.0000,0,2.08
27887,Sliced Pickled Beets,1.0000,0.0000,0.0000,1.0000,0,2.08
28088,Original Crackers,11.0000,0.0000,0.0000,11.0000,0,1.92
28212,Assorted Wonka Mix Candy,2.0000,0.0000,0.0000,2.0000,0,4.96
28427,Coffee Mate French Vanilla Cre,1.0000,0.0000,0.0000,1.0000,0,2.40
28620,Chocolate Latte,228.0000,57.0000,0.0000,171.0000,0,2.24
29851,Pumpkin Spice Cookie Mix,236.0000,15.0000,0.0000,221.0000,0,2.24
30150,Panko Breaded Onion Rings,30.0000,0.0000,0.0000,30.0000,0,0.00
30241,Evaporated filled milk,45.0000,45.0000,0.0000,0.0000,0,3.52
30381,Turkey Burgers,63.0000,0.0000,0.0000,63.0000,0,1.76
305260,Huggies Diapers Size 3,38.0000,38.0000,0.0000,0.0000,3,0.80
30527,Huggies Diapers Size 4,61.0000,61.0000,0.0000,0.0000,3,0.80
30528,Huggies Diapers Size 5,56.0000,56.0000,0.0000,0.0000,3,0.80
30529,Huggies Diapers Size 6,609.0000,533.0000,0.0000,76.0000,3,0.64
30897,fruit Twists Strawberry,30.0000,0.0000,0.0000,30.0000,0,3.36
308971,Sweet Devil's Food Bites,6.0000,6.0000,0.0000,0.0000,0,1.92
31014,Peppercorn Rotisserie Chicken,204.0000,0.0000,0.0000,204.0000,0,0.00
31528,Cream cheese icing,6.0000,0.0000,0.0000,6.0000,0,0.00
31529,Variety muffin mix,15.0000,0.0000,0.0000,15.0000,0,5.28
31546,Huggies Diapers Size 2,2.0000,0.0000,0.0000,2.0000,3,1.44
31547,Chocolate Granola bars,194.0000,0.0000,0.0000,194.0000,0,1.28
31631,CHILI GARLIC SAUCE,153.0000,0.0000,0.0000,153.0000,0,2.94
32101,Concentrated Cherry Limeade,3.0000,3.0000,0.0000,0.0000,0,2.24
32124,Cran-Pomagranite Juice,28.0000,28.0000,0.0000,0.0000,0,1.20
32350,Fruit Punch,34.0000,34.0000,0.0000,0.0000,0,8.64
